PROBLÉM,MOŽNÁ PŘÍČINA,NOVÝ MENTÁLNÍ NÁVYK
NERVOZITA,"Strach, úzkost, svár, shon.
Nedůvěra v běh života.","Jsem na nekonečné cestě věčností a
na všechno je dost času. Komunikuji
se svým srdcem. Všechno je
v pořádku."
NERVY,"Představují komunikaci.
Vnímaví zpravodajové.",Komunikuji snadno a s radostí.
NESPAVOST,"Strach.
Nedůvěra v běh života.
Vina.","S láskou opouštím den a oddávám
se klidnému spánku, neboť vím,
že zítřek se sám o sebe postará."
NEURALGIE,"Trest za vinu. Úzkost
z komunikace.","Odpouštím si. Mám se rád a jsem
se sebou spokojený. Ke všem
a všemu se obracím s láskou."
NEVOLNOST,"Strach. Odmítání určité
myšlenky či zážitku.","Jsem v bezpečí. Věřím, že běh života
mi přináší jen dobro."
"„NEVYLÉČITELNĚ
„ NEMOCI","V tomto stavu nemoc
nemůže být vyléčena
vnějším zásahem. Skutečné
vyléčení vyžaduje
proniknout hluboko
do pacientova nitra.","Každý den se dějí zázraky. Pronikám
hluboko do svého nitra, abych
se zbavil návyku, který tuto nemoc
způsobil. Přijímám Boží lék. Je tomu
tak !"
NEŽITY,"Překypující, kvasící zloba.","Vyjadřuji lásku a radost. Jsem
usmířený."
NOHY,,
- POTÍŽE,Nesou nás v životě vpřed.,Život je tu pro mne.
- STEHNA,"Lpění na traumatech
z dětství.","S pochopením, vědomím
a znalostmi, které měli, dělali
to nejlepší, co mohli. Osvobozuji je."
- LÝTKA,"Strach z budoucnosti.
Nechuť k pohybu.","S radostí a sebedůvěrou postupuji
vpřed, neboť vím, že v
mé budoucnosti je vše v pořádku."
NOS,Představuje sebepoznání.,"Jsem si vědom svých intuitivních
schopností."
NOSNÍ MANDLE,"Rodinné neshody, hádky.
Dítě se cítí nevítané.","Toto dítě obklopuje láska. Toto dítě
chceme a přijímáme."
OBEZITA,"Strach, potřeba ochrany.
Útěk před city.
Nejistota, zavrhování sebe
sama. Hledání seberealizace
a naplnění.","Jsem usmířeny s vlastními pocity.
Jsem v bezpečí. Vytvářím
si bezpečné prostředí. Mám se rád
a jsem se sebou spokojený."
OBLIČEJ,"Představuje to,
co ukazujeme světu.","Je bezpečné být sám sebou.
Vyjadřuji, kdo jsem."
OBRNA,"Ochromující žárlivost. Touha
někoho zastavit.","Všeho je dost pro všechny.
Láskyplnými myšlenkami si vytvářím
radost a svobodu."
OČI,"Představují schopnost
zřetelně vidět.","Dívám se radostnýma a laskavýma
očima."
OČNÍ POTÍŽE,"Nespokojenost s tím,
co vidím ve svém životě.","Právě v tomto okamžiku si vytvářím
život, na který se rád dívám."
"-
ASTIGMATISMUS","Strach doopravdy vidět sebe
sama.","Jsem ochoten vidět se
v celé své kráse a vznešenosti."
"-
DALEKOZRAKOST",Strach z přítomnosti.,"Vidím, že právě v tomto okamžiku
a právě tady jsem v bezpečí."
- DĚTSKÉ,"Odmítání vidět, co se děje
v rodině.","Toto dítě nyní obklopuje harmonie,
radost, krása a bezpečí."
"GLAUKOM
(ZELENÝ ZÁKAL)","Tvrdošíjné neodpouštění.
Tlak ze starých urážek
a křivd. Znavenost životem.",Dívám se něžně a laskavě.
KRÁTKOZRAkOST,Strach z budoucnosti.,"Nechávám se vést Bohem a jsem
vždy v bezpečí."
ŠEDÝ ZÁKAL,"Temná budoucnost.
Neschopnost hledět
s radostí do budoucna.",Život je věčný a plný radosti.
ŠILHAVOST,,
-ROZBÍHAVÁ,"Strach pohlédnout
na bezprostřední
přítomnost.","Mám se rád a jsem spokojený s tím,
jaký jsem."
- SBÍHAVÁ,"Odmítání vidět okolní svět.
Nedorozumění.","Je bezpečné vidět svět. Jsem
usmířený."
OCHABLÉ RYSY,"Ochablé rysy v obličeji jsou
způsobeny ochablými
myšlenkami. Nechuť
k životu.","Vyjadřuji radost ze života. Mohu
se naplno radovat z každičkého
okamžiku každého dne. Jsem opět
mladý."
OPAR,"Všeobecné přesvědčení
o sexuální vině a potřebě
trestu. Veřejná hanba. Víra
v trestajícího Boha.
Zavrhování genitálií.","Mé chápání Boha je mi oporou. Jsem
normální a přirozený. Raduji se ze
své sexuality a ze svého těla. Jsem
dokonalý."
"OPAR, PÁSOVÝ","Strach a napětí.
Přecitlivělost. Čekání, kdy
to všechno praskne.","Jsem uvolněný a usmířený, protože
věřím v běh života. V mém světě
je všechno v pořádku."
OSTEOMYELITIDA,viz ZÁNĚT KOSTNÍ DŘENĚ,
OTLAKY,"Zbytnělé názory
a myšlenky.
Vykrystalizovaný strach.","Je bezpečné nově myslet a žít.
Přijímám dobro."
OTOKY,"Čeho nebo koho
se nechcete zbavit ?","Rád se zbavuji všeho minulého. Je to
bezpečné. Jsem svobodný."
OTUPĚLOST,"Mentální umrtvení.
Potlačování projevů lásky
a účasti.","Sdílím své pocity a svou lásku.
Reaguji na lásku v každém člověku."
PADOUCNICE,viz EPILEPSIE,
PÁCHNOUCÍ DECH,"Zloba a pomstychtivé
myšlenky. Zkažené,
zahnívající myšlení, špinavé
pomluvy.","Hovořím vlídně a laskavě. Vydechuji
jen dobro."
PÁCHNOUCÍ POT,"Strach. Strach z ostatních.
Štítivost vůči sobě samému.","Mám se rád a jsem se sebou
spokojený. Jsem v bezpečí."
PÁLENÍ ZÁHY,"Strach. Strach. Strach.
Svíravý strach.","Dýchám zhluboka a svobodně. Jsem
v bezpečí. Víra v běh života."
PARADENTÓZA,"Zloba na vlastní
nerozhodnost. Od slov
daleko k činům.","Jsem se sebou spokojený. Vždy
se rozhoduji správně."
PARALÝZA,"Strach, hrůza, útěk před
nějakým člověkem
či situací. Odpor.","Jsem zajedno se životem. Jsem
v bezpečí. S přehledem zvládám
všechny situace."
"PARKINSONOVA
NEMOC","Strach. Intenzívní potřeba
všechny a všechno ovládat.","Uvolňuji se, neboť vím, že jsem
v bezpečí. Život je tu pro mne.
Věřím v běh života."
PÁTEŘ,Představuje životní oporu.,"Vím, že život je mi vždy oporou."
- BEDERNÍ PÁTEŘ,"Vina. Ustrnutí v problémech
minulosti. Touha mít
od všeho pokoj.","Zbavuji se minulosti.
Jsem svobodný, abych mohl s láskou
v srdci postupovat vpřed."
- HRUDNÍ PÁTEŘ,"Nedostatek citové opory.
Pocit, že mne nikdo nemá
rád. Potlačování projevů
lásky.","Mám se rád a jsem se sebou
spokojený. Život mne má rád a je mi
oporou."
"- KOSTRČ
a KŘÍŽOVÁ PÁTEŘ","Strach z peněz.
Nedostatek finanční
podpory.","Věřím v běh života. 0 vše,
co potřebuji, je vždy postaráno.
Jsem v bezpečí."
- KRČNÍ PÁTEŘ,"Odmítání vidět druhou
stránku problému
Tvrdošíjnost a nepružnost.","Pružně a snadno vidím všechny
stránky problému. Věci jde dělat
nekonečně mnoha způsoby. Jsem
v bezpečí."
"- ZAKŘIVENÍ
PÁTEŘE",viz ZAKŘIVENÍ,
PAŽE,"Představují schopnost
a způsobilost přijímat
životní zkušenosti.","Láskyplně, s radostí a přirozeně
přijímám všechny své životní
zkušenosti."
"PEPTICKÝ VŘED
(viz též VŘEDY,
ŽALUDEK)","Strach. Úzkostlivá snaha
zavděčit se všem.
Přesvědčení, že za nic
nestojím.","Mám se rád a jsem se sebou
spokojený. Jsem se sebou usmířený.
Jsem dokonalý."
PÍŠTĚL,"Strach. Překážka v procesu
zbavování.","Jsem v bezpečí. Bezvýhradně věřím
v běh života. Život je tu pro mne."
PLÁČ,"Slzy jsou řekou života.
Kanou z radosti i ze žalu
a strachu.","Jsem usmířený se svými emocemi.
Mám se rád a jsem se sebou
spokojený."
PLÍCE,Schopnost přijímat život.,"Přijímám život v dokonalé
rovnováze."
PLÍCNÍ POTÍŽE,"Deprese. Smutek. Strach
přijímat život. Pocit,
že nejsem hoden žít naplno.",Jsem schopen naplno přijímat život.
PLÍSNĚ,"viz DERMATOMYKÓZA,
KANDIDÓZA, TRICHOFYCIE",
PLOTÉNKY,"Nerozhodnost.
Pocit, že v životě nemám
žádnou oporu.","Život podporuje všechny
mé myšlenky, a proto se mám rád,
jsem se sebou spokojený a v mém
světě je všechno v pořádku."
PLYNATOST,"Svíravé pocity. Strach.
Nestrávené myšlenky.","Jsem uvolněný. Dovoluji životu, aby
mnou volně proudil."
P.M.S.,"viz PREMENSTRUAČNÍ
SYNDROM",
"PODVĚSEK
MOZKOVÝ",viz HYPOFÝZA,
PODVRTNUTÍ,viz VÝRON,
"POHLAVNÍ
NEMOCI","Sexuální vina. Potřeba
trestu. Přesvědčení,
že genitálie jsou hříšné
a nečisté. Zneužívání
druhých.","Láskyplně a radostně přijímám svou
sexualitu a její vyjádřen í. Přijímám
jen myšlenky, které mne podporují
a dělají mi dobře."
POHMOŽDĚNINY,"Drobné životní nesnáze.
Trestání sebe sama.","Mám se rád a láskyplně o sebe
pečuji. Chovám se k sobě laskavě
a něžně. Všechno je v pořádku."
"POMOČOVÁNÍ
(U DĚTÍ) (vis též
INKONTINENCE)","Strach z rodiče, většinou
otce.","Dívám se na toto dítěs láskou,
soucitem a pochopením. Všechno je
v pořádku."
PÓRY,viz UCPANÉ PÓRY,
POTRAT,"Strach. Strach
z budoucnosti. Nesprávná
volba času.","Bůh v mém životě vždy určí pravou
chvíli. Mám se ráda a jsem se sebou
spokojená. Všechno je v pořádku."
"PREMENSTRU
AČNÍ SYNDROM
(P.M.S.)","Podléhání zmatečným
a zavádějícím názorům
a vnějším vlivům.
Zavrhování ženství.","Jsem zcela zodpovědná za svou
mysl ^ a za svůj život. Jsem silná
a energická. Každičká část mého těla
dokonale pracuje. Mám se ráda."
PROSTATA,Představuje mužský princip.,"Přijímám své mužství a raduji se
z něj."
- POTÍŽE,"Mentální obavy oslabují
potenci. Sexuální tlak
a vina. Přesvědčení,
že člověk musí zestárnout.
Kapitulace.","Mám se ráda jsem se sebou
spokojený. Přijímám svou vlastní
sílu. Jsem navěky mladý duchem."
PRSA,"Představují mateřskou péči
a výživu.","Přijímám a vydávám výživu
v dokonalé rovnováze."
"- UZLINY, CYSTY,
NÁDORY (viz též
CYSTY)","Přílišná péče. Přehnaná
starostlivost. Panovačnost.
Překážky druhým v růstu.","Mohu být sama sebou a nechávám
ostatním volnost, aby byli tím, kým
jsou. Pro všechny z nás je bezpečné
dospět a vyrůst."
PRSTY,Představují detaily života.,Jsem usmířený s detaily života.
- MALÍČEK,"Představuje rodinu
a předstírání.",Je mi dobře s rodinou života.
- NA NOHOU,"Představují detaily
budoucnosti.",Všechny detaily se vyřeší samy.
- PALEC,"Představuje intelekt
a obavy.",Má mysl je usmířená.
- PROSTŘEDNÍČEK,"Představuje vztek
a sexualitu.",Je příjemné být mužem/ženou.
- PRSTENÍČEK,"Představuje svazky
a smutek.",Miluji klidně a laskavě.
- UKAZOVÁČEK,Představuje ego a strach.,Jsem v bezpečí.
PRŮJEM,"Strach. Odmítání.
Útěk před někým nebo
něčím.","Zcela normálně přijímám, asimiluji
a vylučuji. Jsem usmířený
se životem."
PSORIÁZA,viz LUPENKA,
PUCHÝŘE,"Odpor. Nedostatek citové
ochrany.","Snadno se přizpůsobuji životu
a každé nové zkušenosti."
RAKOVINA,"Velká křivda. Dlouhodobý
odpor a zášť. Skryté
tajemství či zármutek, který
člověka vnitřně stravuje.
Tajená nenávist. Pocit,
že nic nemá smysl.","Zbavuji se celé své minulosti a
s láskou jí odpouštím. Jsem ochoten
naplnit svůj život radostí.
Mám se rád a jsem se sebou
spokojený."
RAMENA,"Jsou od toho, aby nesla
radost, nikoli břemena.",Mohu se svobodně radovat.
"RAMENA, KULATÁ",viz SKOLIÓZA,
"REVMATICKÁ
ARTRITIDA","Kritika autority.
Pocit, že mne někdo ovládá
a šikanuje.","Jsem si svou vlastní a jedinou
autoritou. Mám se rád a jsem
se sebou spokojený. Život je dobrý."
REVMATISMUS,"Pocit diskriminace.
Nedostatek lásky. Chronická
zatrpklost. Odpor a zášť.","Své zážitky si vytvářím sám.
Mé životní zkušenosti jsou čím dál
tím příjemnější, protože mám rád
sám sebe i ostatní a jsem se sebou
i s nimi spokojený."
ROZEDMA PLIC,"Strach přijímat život.
Pocit, že nejsem hoden
života.","Mým přirozeným právem je žít
spontánně a naplno. Mám se rád.
Mám rád život."
"ROZTROUŠENÁ
SKLERÓZA","Zatvrzelost, nepřístupnost,
neoblomnost, nepružnost.
Strach.","Vybírám si láskyplné a radostné
myšlenky, a vytvářím si tak
láskyplný a radostný svět. Jsem
v bezpečí. Jsem svobodný."
RUCE,"Všemožné způsoby, jak
nakládat se zkušenostmi.
Držení a manipulace.
Sevření a povolení.
Pohlazení. Štípnutí. Stisk
a chňapnutí.","Snadno, radostně a láskyplně
využívám všechny své zkušenosti."
RÝMA,"Příliš mnoho událostí
najednou. Mentální zmatek.
Drobné křivdy. Přesvědčení
typu „Každý rok chytnu
třikrát za zimu rýmu"".","Dovoluji své mysli, aby se uvolnila
a usmířila. Všude ve mně i kolem
mne panuje čistota a harmonie."
"RÝMA,
CHRONICKÁ","Vnitřní pláč. „Dětské"" slzy.
Oběť.","Uznávám, že ve svém světě jsem
jedinou tvůrčí silou. Jsem ochoten
radovat se ze života."
"RÝMA, SENNÁ","Nahromaděné emoce.
Strach z přesného časového
harmonogramu.
Přesvědčení, že mne někdo
nebo něco pronásleduje.
Vina.","Jsem zajedno s veškerým životem.
Jsem vždy v bezpečí."
ŘÍHÁNÍ,"Strach. Příliš rychlé hltání
života.","Na všechno, co potřebuji udělat,
je čas i prostor. Jsem usmířený."
SANICE,viz ČELIST,
SENILITA,"Návrat do bezpečí dětství.
Vyžadování péče
a pozornosti. Způsob
ovládání bližních. Únik.","Boží ochrana. Bezpečí. Klid.
Vesmírná Inteligence působí
na každé úrovni života."
SKLERODERMIE,"Pocit nejistoty
a zranitelnosti.
Pocit, že mne ostatní
ohrožují a dráždí.
Vytváření vlastní ochrany.","Bůh mne vždy ochraňuje. Všechno,
co dělám, je v pořádku. Přináší mi to
lásku, kterou s radostí a s potěšením
přijímám."
SKLERÓZA,viz ARTERIOSKLERÓZA,
"SKLERÓZA
MULTIPLEX","viz ROZTROUŠENÁ
SKLERÓZA",
SKOLIÓZA,"Vláčení břemen života.
Bezmoc a beznaděj.","Stojím vzpřímeně a svobodně. Mám
se rád a jsem se sebou spokojený.
Můj život je den ode dne lepší
a radostnější."
SLEZINA,"Posedlost. Utkvělé
představy, nutkavé
myšlenky.","Mám se rád a jsem se sebou
spokojený. Věřím, že život je tu pro
mne. Jsem v bezpečí. Všechno je
v pořádku."
"SLINIVKA (viz též
ZÁNĚT SLINIVKY)",Představuje sladkost života.,Mám sladký život.
SNĚŤ,"Mentální morbidita.
Utápění radosti
v jedovatých myšlenkách.","Vybírám si jen harmonické
myšlenky. Dovoluji, aby mnou volně
proudila radost."
SPÁLENINY,Zloba. Vztek. Vznětlivost.,"V sobě i kolem sebe vytvářím pouze
klid a harmonii.
Zasloužím si, aby mi bylo dobře."
SRDCE,"Představuje centrum lásky
a bezpečí.",Mé srdce bije v rytmu lásky.
"SRDEČNÍ POTÍŽE
(viz též INFARKT)","Dlouhotrvající citové
problémy. Málo radosti.
Zatvrzelost v srdci.
Přesvědčení, že je nutné žít
v napětí a stresu.","Radost. Radost. Radost.
S láskou nechávám radost prostoupit
celou svou myslí, svým tělem
a všemi svými zážitky."
"STÁRNUTÍ -
POTÍŽE","Společenské předsudky.
Staré myšlení. Strach být
sám sebou. Zavrhování
přítomnosti.","Mám se ráda jsem se sebou
spokojený v každém věku. Každý
okamžik života je dokonalý."
STRABISMUS,"viz OČNÍ POTÍŽE,
ŠILHAVOST",
STRNULOST,"Strnulé, rigidní myšlení.","Mohu uvažovat pružně, neboť jsem
v naprostém bezpečí."
STRUMA,"Nenávist pramenící z pocitu
ublížení a porážky. Oběť.
Pocit zmařeného života.
Nenaplnění.","Svůj život ovládám jen já. Mohu být
sám sebou."
STYDKÁ KOST,"Představuje ochranu
genitálií.",Má sexualita je v bezpečí.
STŘEVA,"Místo, kde se tělo zbavuje
odpadu.","Snadno se zbavuji všeho,
co nepotřebuji."
POTÍŽE,"Strach zbavit se všeho
starého a nepotřebného.","Snadno a přirozeně se zbavuji všeho
starého a s radostí vítám nové."
"SVALOVÁ
DYSTROFIE","Obrovský strach. Nesmírná
touha ovládat všechno
a všechny. Naléhavá
potřeba bezpečí. Ztráta víry
a důvěry.","Je bezpečné být naživu. Je bezpečné
být sám sebou.
Jsem dost dobrý takový, jaký jsem.
Věřím si."
SVEDENÍ,"Touhy a přání, která jsou
člověku proti mysli.
Nespokojenost. Výčitky
svědomí. Svrbění odejít
nebo utéct.","Je mi dobře tam, kde jsem. Přijímám
to, co mi prospívá, neboť vím,
že všechny mé touhy a potřeby
dojdou naplnění."
SVRAB,"Infikované myšlení.
Dovolujete ostatním, aby
se vám dostali pod kůži.","Jsem živoucím, milujícím
a radostným ztělesněním života.
Jsem sám sebou."
SYFILIS,viz POHLAVNÍ NEMOCI,
ŠEDIVĚNÍ VLASŮ,"Stres. Přesvědčení, že je
nezbytné žít pod neustálým
tlakem a v napětí.","Jsem harmonický. Jsem silný
a schopný."
ŠEDÝ ZÁKAL,viz OČNÍ POTÍŽE,
ŠILHAVOST,viz OČNÍ POTÍŽE,
ŠTÍTNÁ ŽLÁZA,,
- POTÍŽE,"Ponížení. Pocit, že se nikdy
nedostanu k tomu, co chci
dělat.","Přenáším se přes hranice svých
omezení. Nyní se mohu vyjadřovat
svobodně a tvořivě."
- HYPERFUNKCE,"Mimořádné zklamání,
že nejsem schopen dělat to,
co chci. Uspokojování
druhých, ne sebe.","Navracím svou sílu tam, kam patří.
Činím svá vlastní rozhodnutí.
Uspokojuji své vlastní touhy
a potřeby."
TASEMNICE,"Silné přesvědčení, že jsem
pouhou obětí druhých.
Pocit, že jsem nečistý.
Bezmoc nad postoji
ostatních.","Mé okolí je odrazem dobrých pocitů,
které ze sebe mám. Mám se rád
a schvaluji všechno, čím jsem."
"TEPNY (viz též
ARTEMOSKLERÓZA)",Rozvádějí radost ze života.,"Překypuji radostí. Proudí mnou
s každým úderem mého srdce."
"TETAN
US TONSILITIDA","Potřeba zbavit se zlostných,
hlodavých myšlenek.
viz ANGÍNA","Dovoluji lásce ve svém srdci, aby
mne celého omyla a očistila a aby
zhojila celé mé tělo a všechny
mé city."
TOXIKOMANIE,viz NARKOMANIE,
TRICHOFYCIE,"Pocit, že nejsem dost dobrý
nebo dost čistý. Podléhání
tlaku ze strany druhých.","Mám se rád a jsem se sebou
spokojený. Jsem svobodný. Jsem
mimo dosah vlivu kohokoli
a čehokoli."
"TRISMUS
(ZTÍŽENÉ
OTVÍRÁNÍ
ÚST)","Zloba. Touha ovládat
někoho nebo něco.
Odmítání vyjadřovat své
pocity.","Věřím v běh života. Snadno si říkám
o to,co chci. Život mě podporuje."
TROMBÓZA,"Pocit osamělosti a strachu.
Pocit, že za nic nestojím,
že toho nedělám dost,
že nikdy nic nezvládnu.","Splývám se životem.
Vesmír mne bezvýhradně podporuje.
Všechno je v pořádku."
TRUDOVITOST,viz AKNÉ,
TUBERKULÓZA,"Sobectví a panovačnost.
Kruté myšlenky. Odplata.","Mám se rád a jsem se sebou
spokojený. Vytvářím si tak klidný
svět plný radosti."
TUK,"Představuje ochranu.
Přecitlivělost.","Ochraňuje mne Boží láska. Jsem
vždy v bezpečí."
UCPANÉ PÓRY,"Pocit, že jsem nečistý a
že mě nikdo nemá rád.","Mám se rád a jsem se sebou
spokojený. Mám rád lidi a oni mají
rádi mne."
ÚNAVA,"Odpor, nuda. Málo lásky
k tomu, co dělám.","Jsem plný energie a nadšení
ze života."
"URETERITIDA
a URETRIT1DA","Vztek, většinou na opačné
pohlaví nebo na partnera.
Obviňování ostatních.","Zbavuji se návyku ve svém vědomí,
který způsobil tento stav. Jsem
ochoten se změnit. Mám se rád
a jsem se sebou spokojený."
ÚSTA,"Představují přijímání výživy
a nových myšlenek.",Jsem živ z lásky.
- POTÍŽE,"Zakořeněné názory.
Nepřístupná mysl.
Neschopnost přijímat nové
myšlenky.","Vítám nové myšlenky a pojmy
a připravuji se na proces trávení
a asimilace."
UŠI,"Představují schopnost
slyšet.",Naslouchám s láskou.
UŠNÍ BOLESTI,"Zloba. Odmítání slyšet.
Přílišný rozruch a zmatek.
Hádky rodičů.","Obklopuje mne harmonie. S láskou
naslouchám všemu dobrému
a příjemnému. Jsem středem lásky."
ÚZKOST,"Nedůvěra v přirozený běh
života.","Mám se rád a jsem se sebou
spokojený. Věřím v běh života. Jsem
v bezpečí."
VAJEČNÍKY,"Představují stvoření
i tvořivost.",Jsem vyvážená ve své tvořivosti.
VARLATA,Představují mužský princip.,Je bezpečné být mužem.
VITILIGO,"Pocit, že jsem zcela mimo
hru, outsider, a nezapadám
do žádného společenství.","Jsem v samém středu života. Jsem
spojen s láskou."
VOLE,viz STRUMA,
VROZENĚ VADY,"Karmické. Zvolili jste si přijít
takto na svět. Rodiče
si vybíráme sami.","Pro můj růst je vhodná každá
zkušenost. Jsem usmířený s tím, kde
jsem."
"VŘEDY
(ŽALUDEČNÍ
a DVANÁCTERNÍK
OVÉ)","Strach.
Silné přesvědčení, za nic
nestojíte.
Co vás užírá ?","Mám se ráda jsem se sebou
spokojený. Jsem usmířený. Jsem
klidný. Všechno je v pořádku."
VULVA,"Představuje zranitelnost
a citlivost.",Je bezpečné být zranitelný a citlivý.
"VYPADÁVÁNÍ
VLASŮ","Strach. Napětí. Snaha vše
ovládat. Nedůvěra v běh
života.","Jsem v bezpečí. Mám se rád a jsem
se sebou spokojený. Věřím životu."
"VYRÁŽKA
(EXANTÉM)","Podrážděnost nad
odkládanými záležitostmi.
Dětský způsob, jak
si vynutit pozornost.","Mám se rád a jsem se sebou
spokojený. Jsem usmířen s během
života."
VÝRON,"Zloba a odpor.
Odmítání postupovat
v životě určitým směrem.","Věřím, že život mne dovede k mému
nejvyššímu dobru. Jsem usmířený."
"VÝTOK, BÍLÝ","Přesvědčení, že ženy jsou
ovládány opačným
pohlavím. Zlost na partnera.","Všechny své zážitky si vytvářím
sama. Jsem jedinou silou ve svém
životě. Raduji se z toho, že jsem
žena. Jsem svobodná."
VZTEKLINA,"Vztek. Přesvědčení,
že odpovědí na vše je násilí.","Ve mně i kolem mne panuje klid
a mír."
ZÁCPA,"Odmítání zbavit se starých
myšlenek.
Uvíznutí v minulosti. Někdy
i lakomost.","Zbavuji se starého a to, co přichází,
je nové, svěží a plné života.
Nechávám život proudit celou svou
bytostí."
ZÁDA,viz PÁTEŘ,
"ZAKŘIVENI
PÁTEŘE","Strach a snaha lpět
na starých myšlenkách.
Nedůvěra v život.
Nedostatek mravní čistoty.
Člověk bez nadšení
a zapálených přesvědčení.","Zbavuji se veškerého strachu.
Věřím v běh života.
Vím, že život je tu pro mne.
S láskou stojím rovně a vzpřímeně."
"ZÁNĚT
(všeobecně)","Strach. Zloba a frustrace
z toho.co se děje ve vašem
životě.","Jsem ochoten změnit všechny své
návyky a kritiky. Mám se rád a jsem
se sebou spokojený. Má mysl
je pokojná, klidná a vyvážená."
Z. JATER,"Odpor vůči změně.
Strach, zloba a nenávist.
Játra jsou sídlem zloby
a vzteku.","Má mysl je čistá a svobodná. Zbavuji
se minulosti a vítám vše nové.
Všechno je v pořádku."
Z.KLOUBŮ,"Pocit, že mne nikdo nemá
rád. Kritika, zášť.","Jsem láska. Jsem ochoten mít se rád
a být se sebou spokojený.
S láskou se dívám na své okolí."
Z.KOSTNÍ DŘENĚ,"Frustrace a zloba na samu
podstatu života. Pocit,
že mne nikdo nepodporuje.","Věřím v běh života a jsem s ním
usmířený. Jsem v bezpečí."
Z.KYČELNÍKU,"Strach. Obavy.
Přesvědčení, že za nic
nestojím.","Mám se ráda jsem se sebou
spokojený. Snažím se ze všech sil.
Jsem dokonalý. Jsem usmířený."
"Z.LEDVIN
Z.MANDLÍ","Přecitlivělá reakce
na zklamání a neúspěch.
viz ANGÍNA","V mém životě se dějí jen správné
věci. Zbavuji se starého a vítám
nové. Všechno je v pořádku."
Z.OČNÍ ROHOVKY,"Nesmírná zloba.
Touha udeřit osobu či věci,
které vidíte.","Dovoluji, aby láska plynoucí z mého
srdce zhojila vše, co vidím. V mém
světě je všechno v pořádku."
"Z.POCHVY
Z.SEDACÍHO
NERVU","Zloba na partnera. Sexuální
vina. Trestání sebe sama.
viz ISCHIAS","Mám se ráda a jsem se sebou
spokojená. Druzí zrcadlí mé kladné
pocity. Raduji se ze své sexuality."
"Z.SLEPÉHO
STŘEVA","Strach. Strach ze života.
Zablokování proudu dobra.","Jsem v bezpečí. Uvolňuji se
a nechávám život radostně plynout."
Z.SLINIVKY,"Odmítání. Zloba a frustrace
z pocitu, že život pozbyl
veškeré sladkosti.","Mám se rád a jsem se sebou
spokojený. Jen já sám si mohu
osladit život a naplnit jej radostí."
Z. SPOJIVEK,"Zloba a frustrace z toho,
na co se v životě dívám.","Hledím očima lásky. Existuje
harmonické řešení, které přijímám."
"Z.SPOJIVEK,
INFEKČNÍ","Zloba a frustrace. Odmítání
vidět.","Zbavuji se potřeby mít za každých
okolností pravdu. Jsem usmířený.
Mám se rád a jsem se sebou
spokojený."
"Z.TLUSTÉHO
STŘEVA","Přehnané nároky ze strany
rodičů.
Pocit útlaku a porážky.
Silná potřeba lásky
a náklonnosti.","Mám se ráda jsem se sebou
spokojený. Vytvářím si svou vlastní
radost. Jsem rozhodnut být úspěšný."
Z.ŽIL,"Zloba a frustrace. Málo
radosti v životě. Obviňování
ostatních za svá vlastní
omezení.","Dovoluji, aby mnou volně proudila
radost. Jsem usmířený se životem."
ZÁPAL PLIC,"Zoufalství. Únava ze života.
Citové rány, kterým není
dovoleno, aby se zhojily.","Spontánně přijímám myšlenky, které
jsou prodchnuty dechem
a Inteligencí života. Tento okamžik
je nový."
ZÁPĚSTÍ,"Představuje pohyb
a uvolněnost.","Všechny své životní zkušenosti
zvládám snadno, s láskou
a moudrostí."
ZÁVRAŤ,"Přelétavé, roztěkané
myšlení. Odmítání podívat
se na něco
nebo na někoho.","Jsem hluboce soustředěný. Jsem
vyvážený a usmířený. Je bezpečné
žít a radovat se."
"ZBYTNĚNÍ
KOŽNÍHO VAZIVA",viz SKLERODEŘMIE,
ZDUŘENÍ,"Slepá ulička, bezradnost
v myšlení. Omezující,
bolestné myšlenky.","Mé myšlenky plynou lehce
a spontánně."
ZIMNICE,"Mentální třes.
Touha stáhnout se do sebe.
Tvrzení typu „Nechtě mě na
pokoji.""","Jsem vždy v bezpečí.
Jsem obklopen láskou. Chrání mne.
Všechno je v pořádku."
ZLOMENINY,viz KOSTI,
ZTRÁTA PAMĚTI,"Strach. Útěk před životem.
Neschopnost brát se za svá
práva.","Inteligence, odvaha a sebeúcta jsou
všudypřítomné. Je bezpečné být
naživu."
"ZTRÁTA
ROVNOVÁHY","Roztříštěné myšlení.
Nevyrovnanost.","Bezpečně nacházím svůj střed.
Přijímám dokonalost svého života.
Všechno je v pořádku."
"ZTVRDLÁ KŮŽE
NA NOHOU",viz OTLAKY,
ZTUHNUTÍ ŠÍJE,Neústupná paličatost.,Je bezpečné znát názory ostatních.
ZUBY,Představují rozhodnutí.,
ZUBNÍ POTÍŽE,"Dlouhotrvající
nerozhodnost. Neschopnost
analyzovat myšlenky a činit
příslušná rozhodnutí.","Rozhoduji se na základě principů
pravdy. Cítím se bezpečně, neboť
vím, že v mém životě se dějí jen
správné věci."
"ZUBY
MOUDROSTI,
TĚŽKÉ
PROŘEZÁVÁNÍ","Nedostatečný mentální
prostor pro vytvoření
pevného základu.","Otevírám své vědomí rozmachu
života. Mám dost prostoru na to,
abych mohl růst a měnit se."
ŽALUDEK,"Obsahuje výživu. Zažívá
myšlenky.",Snadno a přirozeně zažívám život.
